IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.40.37,2052,false,SIN,Asia Pacific,Singapore,1 ms,8816 kB/s
47.237.94.140,2082,false,SIN,Asia Pacific,Singapore,0 ms,5492 kB/s
47.236.10.182,2052,false,SIN,Asia Pacific,Singapore,111 ms,5314 kB/s
47.236.121.23,2082,false,SIN,Asia Pacific,Singapore,1 ms,5069 kB/s
47.237.94.140,2086,false,SIN,Asia Pacific,Singapore,0 ms,4935 kB/s
47.236.10.100,80,false,SIN,Asia Pacific,Singapore,123 ms,4933 kB/s
47.236.144.48,2082,false,SIN,Asia Pacific,Singapore,91 ms,4595 kB/s
47.236.145.85,2095,false,SIN,Asia Pacific,Singapore,1 ms,4591 kB/s
47.236.121.23,8080,false,SIN,Asia Pacific,Singapore,0 ms,4563 kB/s
47.237.94.140,2052,false,SIN,Asia Pacific,Singapore,0 ms,4530 kB/s
47.236.254.120,8080,false,SIN,Asia Pacific,Singapore,1 ms,4517 kB/s
47.236.10.100,2082,false,SIN,Asia Pacific,Singapore,117 ms,4416 kB/s
47.236.104.11,8880,false,SIN,Asia Pacific,Singapore,115 ms,4387 kB/s
47.236.145.85,2082,false,SIN,Asia Pacific,Singapore,0 ms,4345 kB/s
47.236.10.182,2082,false,SIN,Asia Pacific,Singapore,120 ms,4326 kB/s
47.236.10.100,2052,false,SIN,Asia Pacific,Singapore,122 ms,4241 kB/s
47.236.97.90,8080,false,SIN,Asia Pacific,Singapore,0 ms,4174 kB/s
47.236.121.23,2095,false,SIN,Asia Pacific,Singapore,1 ms,4113 kB/s
47.237.92.26,8880,false,SIN,Asia Pacific,Singapore,2 ms,4110 kB/s
47.236.17.193,8080,false,SIN,Asia Pacific,Singapore,1 ms,4109 kB/s
47.236.144.48,2052,false,SIN,Asia Pacific,Singapore,14 ms,4100 kB/s
47.236.172.71,2052,false,SIN,Asia Pacific,Singapore,0 ms,4070 kB/s
47.236.10.100,2086,false,SIN,Asia Pacific,Singapore,114 ms,4045 kB/s
47.236.121.23,2086,false,SIN,Asia Pacific,Singapore,1 ms,4038 kB/s
47.237.0.31,2082,false,SIN,Asia Pacific,Singapore,0 ms,4014 kB/s
47.236.172.71,2095,false,SIN,Asia Pacific,Singapore,2 ms,4009 kB/s
47.236.172.71,8080,false,SIN,Asia Pacific,Singapore,0 ms,4008 kB/s
47.237.10.1,2082,false,SIN,Asia Pacific,Singapore,0 ms,3988 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,1 ms,3986 kB/s
47.236.10.100,2095,false,SIN,Asia Pacific,Singapore,120 ms,3968 kB/s
47.237.100.206,8080,false,SIN,Asia Pacific,Singapore,0 ms,3967 kB/s
47.236.149.107,8880,false,SIN,Asia Pacific,Singapore,1 ms,3963 kB/s
47.236.118.216,80,false,SIN,Asia Pacific,Singapore,9 ms,3961 kB/s
47.236.169.15,8080,false,SIN,Asia Pacific,Singapore,6 ms,3938 kB/s
47.236.146.249,2052,false,SIN,Asia Pacific,Singapore,0 ms,3937 kB/s
47.236.10.182,80,false,SIN,Asia Pacific,Singapore,51 ms,3933 kB/s
47.236.144.48,2095,false,SIN,Asia Pacific,Singapore,70 ms,3901 kB/s
47.237.0.31,8080,false,SIN,Asia Pacific,Singapore,0 ms,3882 kB/s
47.236.17.193,2095,false,SIN,Asia Pacific,Singapore,1 ms,3873 kB/s
47.236.166.131,2095,false,SIN,Asia Pacific,Singapore,1 ms,3861 kB/s
47.236.174.206,80,false,SIN,Asia Pacific,Singapore,1 ms,3844 kB/s
47.236.75.113,2052,false,SIN,Asia Pacific,Singapore,1 ms,3829 kB/s
47.237.86.185,2052,false,SIN,Asia Pacific,Singapore,0 ms,3828 kB/s
47.237.11.182,2052,false,SIN,Asia Pacific,Singapore,0 ms,3826 kB/s
47.237.92.26,8080,false,SIN,Asia Pacific,Singapore,0 ms,3824 kB/s
47.236.118.216,8880,false,SIN,Asia Pacific,Singapore,1 ms,3819 kB/s
47.237.10.1,2086,false,SIN,Asia Pacific,Singapore,1 ms,3808 kB/s
47.237.8.82,2052,false,SIN,Asia Pacific,Singapore,1 ms,3807 kB/s
47.236.168.17,2095,false,SIN,Asia Pacific,Singapore,1 ms,3806 kB/s
47.237.10.1,8880,false,SIN,Asia Pacific,Singapore,0 ms,3799 kB/s
47.237.84.173,8080,false,SIN,Asia Pacific,Singapore,0 ms,3788 kB/s
47.236.121.23,2052,false,SIN,Asia Pacific,Singapore,2 ms,3774 kB/s
47.236.174.206,2086,false,SIN,Asia Pacific,Singapore,6 ms,3772 kB/s
47.236.144.208,8880,false,SIN,Asia Pacific,Singapore,1 ms,3767 kB/s
47.237.10.1,80,false,SIN,Asia Pacific,Singapore,1 ms,3745 kB/s
47.236.97.90,8880,false,SIN,Asia Pacific,Singapore,2 ms,3725 kB/s
47.236.5.223,2052,false,SIN,Asia Pacific,Singapore,1 ms,3720 kB/s
47.236.180.51,8880,false,SIN,Asia Pacific,Singapore,2 ms,3710 kB/s
47.237.84.173,80,false,SIN,Asia Pacific,Singapore,2 ms,3682 kB/s
47.236.10.182,2086,false,SIN,Asia Pacific,Singapore,110 ms,3652 kB/s
47.236.168.17,8880,false,SIN,Asia Pacific,Singapore,1 ms,3644 kB/s
47.236.10.100,8080,false,SIN,Asia Pacific,Singapore,113 ms,3643 kB/s
47.236.144.208,2095,false,SIN,Asia Pacific,Singapore,1 ms,3631 kB/s
47.236.17.193,8880,false,SIN,Asia Pacific,Singapore,1 ms,3627 kB/s
47.236.166.131,8880,false,SIN,Asia Pacific,Singapore,0 ms,3618 kB/s
47.236.75.113,8880,false,SIN,Asia Pacific,Singapore,1 ms,3599 kB/s
47.236.121.23,80,false,SIN,Asia Pacific,Singapore,0 ms,3584 kB/s
47.236.168.17,80,false,SIN,Asia Pacific,Singapore,7 ms,3570 kB/s
47.236.172.95,8080,false,SIN,Asia Pacific,Singapore,1 ms,3547 kB/s
47.236.169.141,2082,false,SIN,Asia Pacific,Singapore,1 ms,3537 kB/s
47.236.174.206,2082,false,SIN,Asia Pacific,Singapore,0 ms,3508 kB/s
47.237.92.26,2095,false,SIN,Asia Pacific,Singapore,2 ms,3505 kB/s
47.236.168.17,8080,false,SIN,Asia Pacific,Singapore,5 ms,3505 kB/s
47.236.144.208,80,false,SIN,Asia Pacific,Singapore,1 ms,3501 kB/s
47.236.75.113,8080,false,SIN,Asia Pacific,Singapore,3 ms,3500 kB/s
47.236.166.131,8080,false,SIN,Asia Pacific,Singapore,0 ms,3499 kB/s
47.236.17.193,80,false,SIN,Asia Pacific,Singapore,0 ms,3488 kB/s
47.236.5.223,8080,false,SIN,Asia Pacific,Singapore,0 ms,3477 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,1 ms,3467 kB/s
47.236.10.100,8880,false,SIN,Asia Pacific,Singapore,112 ms,3465 kB/s
47.236.172.71,2082,false,SIN,Asia Pacific,Singapore,1 ms,3424 kB/s
47.236.145.85,8080,false,SIN,Asia Pacific,Singapore,0 ms,3388 kB/s
47.237.92.26,2086,false,SIN,Asia Pacific,Singapore,1 ms,3382 kB/s
47.236.145.85,2086,false,SIN,Asia Pacific,Singapore,0 ms,3377 kB/s
47.236.10.182,2095,false,SIN,Asia Pacific,Singapore,120 ms,3364 kB/s
47.236.172.95,2095,false,SIN,Asia Pacific,Singapore,1 ms,3331 kB/s
47.236.145.85,80,false,SIN,Asia Pacific,Singapore,0 ms,3325 kB/s
47.237.86.185,80,false,SIN,Asia Pacific,Singapore,1 ms,3310 kB/s
47.236.144.208,8080,false,SIN,Asia Pacific,Singapore,1 ms,3292 kB/s
47.236.97.90,80,false,SIN,Asia Pacific,Singapore,1 ms,3287 kB/s
47.236.166.131,2086,false,SIN,Asia Pacific,Singapore,1 ms,3281 kB/s
47.236.167.231,2052,false,SIN,Asia Pacific,Singapore,0 ms,3266 kB/s
47.237.10.1,2095,false,SIN,Asia Pacific,Singapore,0 ms,3250 kB/s
47.237.0.31,2095,false,SIN,Asia Pacific,Singapore,1 ms,3239 kB/s
47.236.118.216,2095,false,SIN,Asia Pacific,Singapore,1 ms,3236 kB/s
47.236.174.206,2095,false,SIN,Asia Pacific,Singapore,1 ms,3229 kB/s
47.236.172.95,8880,false,SIN,Asia Pacific,Singapore,0 ms,3225 kB/s
47.236.121.23,8880,false,SIN,Asia Pacific,Singapore,1 ms,3223 kB/s
47.236.118.216,8080,false,SIN,Asia Pacific,Singapore,7 ms,3204 kB/s
47.236.166.131,80,false,SIN,Asia Pacific,Singapore,1 ms,3163 kB/s
47.76.94.15,8080,false,HKG,Asia Pacific,Hong Kong,0 ms,3107 kB/s
47.236.169.141,2052,false,SIN,Asia Pacific,Singapore,0 ms,3106 kB/s
47.236.5.223,2086,false,SIN,Asia Pacific,Singapore,0 ms,3101 kB/s
47.236.174.206,2052,false,SIN,Asia Pacific,Singapore,0 ms,3088 kB/s
47.236.254.120,8880,false,SIN,Asia Pacific,Singapore,2 ms,3070 kB/s
47.236.145.85,8880,false,SIN,Asia Pacific,Singapore,1 ms,3059 kB/s
47.236.118.216,2082,false,SIN,Asia Pacific,Singapore,0 ms,2988 kB/s
47.237.10.1,8080,false,SIN,Asia Pacific,Singapore,1 ms,2958 kB/s
47.236.75.113,2082,false,SIN,Asia Pacific,Singapore,0 ms,2935 kB/s
47.237.84.173,8880,false,SIN,Asia Pacific,Singapore,0 ms,2927 kB/s
47.236.144.48,80,false,SIN,Asia Pacific,Singapore,63 ms,2912 kB/s
47.236.75.113,2086,false,SIN,Asia Pacific,Singapore,0 ms,2641 kB/s
47.236.75.113,80,false,SIN,Asia Pacific,Singapore,0 ms,2381 kB/s
47.236.118.216,2086,false,SIN,Asia Pacific,Singapore,0 ms,2337 kB/s
47.76.94.15,80,false,HKG,Asia Pacific,Hong Kong,1 ms,1597 kB/s
47.76.94.15,8880,false,HKG,Asia Pacific,Hong Kong,17 ms,1028 kB/s
47.90.141.204,80,false,LAX,North America,Los Angeles,0 ms,921 kB/s
